Time,time
2390,43665
2391,43666
2392,43667
2393,43668
2394,43669
2395,43670
2396,43671
2397,43672
2398,43673
2399,43674
2400,43675
2401,43676
2402,43677
2403,43678
2404,43679
2405,43680
2406,43681
2407,43682
2408,43683
2409,43684
2410,43685
2411,43686
2412,43687
2413,43688
2414,43689
2415,43690
2416,43691
2417,43692
2418,43693
2419,43694
2420,43695
2421,43696
2422,43697
2423,43698
2424,43699
2425,43700
2426,43701
2427,43702
2428,43703
2429,43704
2430,43705
2431,43706
2432,43707
2433,43708
2434,43709
2435,43710
2436,43711
2437,43712
2438,43713
2439,43714
2440,43715
2441,43716
2442,43717
2443,43718
2444,43719
2445,43720
2446,43721
2447,43722
2448,43723
2449,43724
2450,43725
2451,43726
2452,43727
2453,43728
2454,43729
2455,43730
2456,43731
2457,43732
2458,43733
2459,43734
2460,43735
2461,43736
2462,43737
2463,43738
2464,43739
2465,43740
2466,43741
2467,43742
2468,43743
2469,43744
2470,43745
2471,43746
2472,43747
2473,43748
2474,43749
2475,43750
2476,43751
2477,43752
2478,43753
2479,43754
2480,43755
2481,43756
2482,43757
2483,43758
2484,43759
2485,43760
2486,43761
2487,43762
2488,43763
2489,43764
2490,43765
2491,43766
2492,43767
